2023,HDD,Gas (kWh),,2024,HDD,Gas (kWh),,2025,HDD,Gas (kWh),,,2023,2024,2025
01/01/2023,10.2,"46,545",,01/01/2024,7.8,"47,293",,01/01/2025,10.3,"49,316",,Jan,"48,268","56,739","53,372"
02/01/2023,10.6,"47,583",,02/01/2024,6.7,"47,108",,02/01/2025,13.6,"63,949",,,,,
03/01/2023,4.7,"32,504",,03/01/2024,9.1,"52,866",,03/01/2025,14.7,"69,739",,,,,
04/01/2023,5.3,"34,764",,04/01/2024,10.8,"58,665",,04/01/2025,13.2,"60,706",,Feb,,,
05/01/2023,6.4,"40,320",,05/01/2024,10.3,"56,452",,05/01/2025,14.6,"61,563",,,,,
06/01/2023,7.5,"39,538",,06/01/2024,11.1,"57,657",,06/01/2025,14.2,"66,664",,,,,
07/01/2023,8.9,"45,021",,07/01/2024,12.5,"60,769",,07/01/2025,14.1,"69,316",,Mar,,,
08/01/2023,10.9,"50,408",,08/01/2024,12.6,"63,808",,08/01/2025,15.4,"68,887",,,,,
09/01/2023,10.6,"51,756",,09/01/2024,13.8,"68,584",,09/01/2025,15.5,"73,102",,,,,
10/01/2023,6.3,"40,312",,10/01/2024,13.6,"63,770",,10/01/2025,9.9,"53,133",,,,,
11/01/2023,7.6,"41,747",,11/01/2024,11,"59,204",,11/01/2025,8.6,"50,489",,,,,
12/01/2023,7.6,"48,196",,12/01/2024,12,"61,588",,12/01/2025,6.9,"40,783",,,,,
13/01/2023,8.3,"42,929",,13/01/2024,12.9,"61,095",,13/01/2025,5.3,"38,285",,,,,
14/01/2023,10.4,"52,487",,14/01/2024,12.3,"60,881",,14/01/2025,5.4,"39,485",,,,,
15/01/2023,11.8,"53,228",,15/01/2024,15,"69,358",,15/01/2025,7.1,"43,605",,,,,
16/01/2023,13.9,"63,368",,16/01/2024,15.8,"72,923",,16/01/2025,6.4,"46,991",,,,,
17/01/2023,15.6,"65,829",,17/01/2024,15.8,"70,283",,17/01/2025,6.6,"46,787",,,,,
18/01/2023,13.5,"63,543",,18/01/2024,15.4,"67,101",,18/01/2025,6.4,"40,911",,,,,
19/01/2023,13.2,"62,294",,19/01/2024,12.6,"55,461",,19/01/2025,6.6,"39,530",,,,,
20/01/2023,10.4,"49,719",,20/01/2024,7.6,"44,263",,20/01/2025,7.1,"42,410",,,,,
21/01/2023,6.9,"38,091",,21/01/2024,6,"42,864",,21/01/2025,8.9,"50,646",,,,,
22/01/2023,6.5,"36,187",,22/01/2024,8.9,"52,154",,22/01/2025,10.6,"52,867",,,,,
23/01/2023,8.5,"45,093",,23/01/2024,5.1,"47,194",,23/01/2025,9.1,"48,433",,,,,
24/01/2023,7.8,"37,406",,24/01/2024,7.2,"48,279",,24/01/2025,10.4,"62,532",,,,,
